final_ids_membs	final_ids_group	bound	    rs_final	    vs_final
 75000000001562	 91000000000875	0	 0.000000000	 0.000000000
121000000006744	128000000001216	0	 0.000000000	 0.000000000
 92000000000770	128000000001426	0	 0.000000000	 0.000000000
 98000000005990	128000000001426	0	 0.000000000	 0.000000000
 98000000005990	 92000000000770	0	 0.000000000	 0.000000000
117000000002036	 93000000000012	0	 0.000000000	 0.000000000
121000000005347	 93000000000012	0	 0.000000000	 0.000000000
114000000003124	 98000000000050	0	 0.000000000	 0.000000000
 97000000002127	 98000000000050	0	 0.000000000	 0.000000000
119000000005612	128000000000719	0	 0.000000000	 0.000000000
 95000000000090	104000000000026	0	 0.000000000	 0.000000000
 97000000000198	104000000000026	0	 0.000000000	 0.000000000
 96000000000675	104000000000026	0	 0.000000000	 0.000000000
128000000001472	104000000000026	0	 0.000000000	 0.000000000
128000000001429	104000000000026	0	 0.000000000	 0.000000000
118000000002643	104000000000026	0	 0.000000000	 0.000000000
102000000005086	104000000000026	0	 0.000000000	 0.000000000
128000000005424	104000000000026	0	 0.000000000	 0.000000000
 99000000004972	104000000000026	0	 0.000000000	 0.000000000
 95000000000204	 96000000000039	0	 0.000000000	 0.000000000
128000000000645	 96000000000039	0	 0.000000000	 0.000000000
128000000002007	 96000000000039	0	 0.000000000	 0.000000000
128000000001622	 96000000000039	0	 0.000000000	 0.000000000
 95000000001773	128000000000235	0	 0.000000000	 0.000000000
114000000008403	128000000000235	0	 0.000000000	 0.000000000
115000000007629	128000000000235	0	 0.000000000	 0.000000000
128000000001724	128000000000429	0	 2.123413226	 2.229160300
102000000005618	128000000000429	0	 0.000000000	 0.000000000
 97000000001483	 99000000000271	0	 0.000000000	 0.000000000
128000000001618	 99000000000271	0	 0.000000000	 0.000000000
 97000000002281	128000000000322	0	 0.000000000	 0.000000000
 98000000002090	128000000000471	0	 0.000000000	 0.000000000
102000000002120	128000000000181	0	 0.000000000	 0.000000000
101000000001430	128000000000181	0	 0.000000000	 0.000000000
128000000001491	128000000000181	0	 9.104955253	13.676515696
110000000002930	128000000000181	0	 0.000000000	 0.000000000
104000000000537	128000000000296	0	 0.000000000	 0.000000000
128000000003149	128000000000296	0	 4.819942342	 3.821582434
111000000006174	128000000000296	0	 0.000000000	 0.000000000
103000000002525	128000000000806	0	 0.000000000	 0.000000000
128000000003954	128000000000186	0	 9.615303033	15.609329551
